id_topic,name,id_subj,description
4,Definición de Estudios Sociales,1,Concepto y campo de estudio de la asignatura.
4,Importancia de los Estudios Sociales,2,Valor de la disciplina para la vida cotidiana y la comprensión del entorno.
4,El Arte y los Estudios Sociales,3,Relación entre las expresiones artísticas y el análisis social.
4,Ubicación Hemisférica de Costa Rica,4,Localización de Costa Rica en los hemisferios Norte y Occidental.
4,Ubicación Continental de Costa Rica,5,Localización de Costa Rica en el continente americano y el istmo centroamericano.
4,Ventajas de la Ubicación Geográfica,6,Beneficios climáticos comerciales y de biodiversidad por la posición del país.
4,Desventajas de la Ubicación Geográfica,7,Vulnerabilidad ante amenazas naturales y geopolíticas.
4,Lazos Centroamericanos,8,Relaciones históricas y de cooperación entre Costa Rica y sus vecinos.
4,Ciudadanía Global,9,Integración de Costa Rica en la dinámica política y social mundial.
4,Concepto de Relieve,10,Definición general de las irregularidades de la corteza terrestre.
4,Costas,11,Definición y características de las zonas de contacto entre tierra y mar.
4,Valles,12,Definición y características de las depresiones entre montañas (Central General etc.).
4,Cordilleras,13,Definición y características de los sistemas montañosos (Volcánica Central Talamanca etc.).
4,Llanuras,14,Definición y características de las zonas planas (Norte Caribe Pacífico).
4,Ríos y Cuencas,15,Importancia de la red hídrica y principales ríos de Costa Rica.
4,Relieve de Costa Rica,16,Descripción general de la topografía del territorio nacional.
4,Concepto de Región,17,Definición de región como espacio con características homogéneas.
4,Regiones Socioeconómicas,18,División administrativa de Costa Rica para planificación (MIDEPLAN).
4,Ubicación de Regiones,19,Localización espacial de las 6 regiones socioeconómicas.
4,Región Central,20,Características economía y población del Gran Área Metropolitana.
4,Región Chorotega,21,Características economía y geografía de Guanacaste.
4,Región Pacífico Central,22,Características economía y zonas costeras de Puntarenas.
4,Región Brunca,23,Características economía y geografía de la zona sur.
4,Región Huetar Atlántica (Caribe),24,Características economía y cultura de Limón.
4,Región Huetar Norte,25,Características economía y geografía de la zona norte.
4,Concepto de Clima,26,Promedio de condiciones atmosféricas a largo plazo.
4,Concepto de Tiempo Atmosférico,27,Estado momentáneo de la atmósfera en un lugar.
4,Diferencia Clima vs Tiempo,28,Distinción entre condiciones permanentes y transitorias.
4,Elementos del Clima,29,Temperatura precipitación humedad viento y presión atmosférica.
4,Factores del Clima,30,Latitud altitud relieve y cercanía al mar que modifican el clima.
4,Climas de Costa Rica,31,Clasificación general de los regímenes climáticos del país.
4,Clima Tropical Seco,32,Características y ubicación (Pacífico Norte).
4,Clima Tropical Húmedo,33,Características y ubicación (Valle Central zonas de transición).
4,Clima Tropical Muy Húmedo,34,Características y ubicación (Caribe Pacífico Sur Zona Norte).
4,Clima de Montaña,35,Características de zonas altas y páramos.
4,Influencia del Clima en la Vida,36,Efectos en la agricultura vivienda vestimenta y costumbres.
4,Historia Antigua: Ubicación Espacial,37,Zonas de asentamiento de los primeros pobladores en CR.
4,Historia Antigua: Ubicación Temporal,38,Periodización de la historia precolombina.
4,Modo de Vida: Cazadores-Recolectores,39,Características de los primeros grupos nómadas.
4,Modo de Vida: Aldeanos,40,Sedentarización y primeras prácticas agrícolas.
4,Modo de Vida: Cacicazgos,41,Organización social compleja y jerarquizada.
4,Etnias Antiguas,42,Grupos indígenas históricos (Chorotegas Huetares Bruncas etc.).
4,Cosmovisión Indígena,43,Creencias espirituales y relación sagrada con la naturaleza.
4,Arte Precolombino,44,Elaboración de objetos en oro jade cerámica y piedra.
4,Esferas de Piedra,45,Significado y elaboración de las esferas del Diquís.
4,Pueblos Originarios Siglo XXI,46,Situación actual de las comunidades indígenas en CR.
4,Territorios Indígenas Actuales,47,Ubicación geográfica de las reservas indígenas hoy.
4,Vida Cotidiana Indígena Actual,48,Preservación de tradiciones lengua y cultura.
4,Desafíos Indígenas,49,Problemáticas de tierra salud educación y discriminación.
4,Momento del Contacto,50,Llegada de los españoles y encuentro de culturas (1502 en adelante).
4,Impacto Cultural de la Conquista,51,Imposición de lengua religión y costumbres europeas.
4,Impacto Demográfico de la Conquista,52,Descenso de la población indígena por guerras y enfermedades.
4,Impacto Social de la Conquista,53,Desestructuración de las sociedades cacicales.
4,Sociedad Colonial: Ubicación,54,Territorio de la Provincia de Costa Rica en la Colonia.
4,Organización Política Colonial,55,Gobernadores Cabildos y leyes españolas.
4,Organización Social Colonial,56,Estratificación: Peninsulares Criollos Mestizos Indígenas Mulatos.
4,Organización Económica Colonial,57,Ciclos económicos: Cacao Tabaco Ganadería Agricultura de subsistencia.
4,Manifestaciones Culturales Coloniales,58,Sincretismo religioso fiestas patronales y tradiciones.
4,Arte Colonial,59,Arquitectura de iglesias imaginería religiosa y pintura.
4,Causas de la Independencia,60,Factores externos (Ilustración) e internos que motivaron la libertad.
4,Consecuencias de la Independencia,61,Autonomía política y formación del Estado.
4,Valor de la Libertad,62,Significado de la independencia para la democracia actual.
4,Pacto de Concordia,63,Primera Constitución (1821) y organización política inicial.
4,Importancia del Pacto de Concordia,64,El diálogo y acuerdo como bases de la identidad política tica.
4,Anexión del Partido de Nicoya,65,Proceso de incorporación de Nicoya a Costa Rica (1824).
4,Importancia Geográfica de la Anexión,66,Aumento del territorio nacional.
4,Importancia Económica de la Anexión,67,Aporte de tierras ganadería y turismo.
4,Importancia Cultural de la Anexión,68,Aporte del folclore guanacasteco a la identidad nacional.
4,Campaña Nacional 1856-1857,69,Guerra contra los filibusteros para defender la soberanía.
4,Identidad Nacional y Campaña 1856,70,Consolidación del sentimiento patriótico.
4,Batalla de Santa Rosa,71,Expulsión de los filibusteros de territorio nacional (20 de marzo).
4,Batalla de Rivas,72,Combate en Nicaragua y quema del Mesón (11 de abril).
4,Combate de la Trinidad,73,Toma de la Vía del Tránsito en el río San Juan.
4,Ruta de los Héroes,74,Trayecto del ejército costarricense hacia la frontera.
4,Juan Santamaría,75,Héroe nacional y símbolo de sacrificio.
4,Juan Rafael Mora Porras,76,Liderazgo político y militar durante la campaña.
4,Francisca Carrasco,77,Participación de la mujer en la defensa de la patria.
4,Reformas Liberales: Concepto,78,Modernización del Estado a finales del siglo XIX.
4,Reforma Educativa Liberal,79,Educación gratuita obligatoria y laica.
4,Reforma Jurídica y Civil,80,Leyes anticlericales matrimonio civil y registros.
4,Reformas Sociales de 1940,81,Transformación del Estado liberal a Estado social de derecho.
4,Caja Costarricense de Seguro Social,82,Creación de la CCSS y universalización de la salud.
4,Universidad de Costa Rica,83,Fundación de la UCR y acceso a la educación superior.
4,Código de Trabajo,84,Legislación para proteger los derechos de los trabajadores.
4,Garantías Sociales,85,Incorporación de derechos sociales en la Constitución.
4,Rafael Ángel Calderón Guardia,86,Papel político en la promulgación de las reformas.
4,Manuel Mora Valverde,87,Aporte del partido comunista a las reformas.
4,Monseñor Sanabria,88,Apoyo de la Iglesia Católica a las reformas sociales.
1,Valor Posicional,89,Identificación del valor de los dígitos en números naturales y decimales.
1,Notación Desarrollada,90,Expresión de números naturales y decimales utilizando potencias de base diez.
1,Lectura y Escritura de Números,91,Reconocimiento y escritura de números naturales y decimales hasta la diezmilésima.
1,Redondeo de Decimales,92,Aproximación de números decimales a una posición específica.
1,Fracciones,93,"Concepto, comparación y ubicación en la recta numérica."
1,Fracción Propia e Impropia,94,Diferenciación y representación como suma de natural y fracción.
1,Notación Mixta,95,Conversión entre fracciones impropias y números mixtos.
1,Fracciones Decimales,96,Correspondencia entre fracción decimal y número decimal.
1,Fracciones Homogéneas y Heterogéneas,97,Identificación y operaciones de suma/resta.
1,Fracciones Equivalentes,98,Identificación de fracciones que representan la misma cantidad.
1,Simplificación y Amplificación,99,Procesos para obtener fracciones equivalentes.
1,Operaciones con Números Naturales,100,"Suma, resta, multiplicación y división en resolución de problemas."
1,Operaciones con Decimales,101,"Suma, resta, multiplicación y división aplicadas a problemas."
1,Multiplicación/División por potencias de 10,102,"Cálculo rápido por 10, 100, 1000, etc."
1,Potencias (Naturales),103,Cálculo de potencias con base y exponente natural.
1,Cuadrados y Cubos Perfectos,104,Identificación de números que son cuadrados o cubos de enteros.
1,Raíces (Concepto),105,Relación inversa con la potencia (implícito en cuadrados/cubos).
1,Inverso Multiplicativo,106,Identificación del recíproco de un número natural o fraccionario.
1,Combinación de Operaciones,107,Resolución de expresiones con prioridad de operaciones (naturales y decimales).
1,Teoría de Números,108,Conceptos básicos de divisibilidad y propiedades numéricas.
1,Números Pares e Impares,109,Clasificación y aplicación en problemas.
1,Múltiplos,110,Concepto y cálculo de múltiplos de un número.
1,Divisores,111,Identificación de los divisores de un número natural.
1,Reglas de Divisibilidad,112,"Criterios de divisibilidad por 2, 3, 5 y 10."
1,Números Primos y Compuestos,113,Identificación y diferenciación según sus divisores.
1,Factorización Prima,114,Descomposición de números compuestos (relacionado a primos).
1,Cuerpos Sólidos,115,Clasificación de figuras tridimensionales por su forma.
1,Prismas,116,"Elementos (caras, bases, altura) y propiedades."
1,Cilindros,117,"Elementos (bases, superficie lateral, eje, radio, diámetro)."
1,Esferas y Conos,118,Reconocimiento de formas básicas.
1,Perímetro de Polígonos,119,Cálculo de bordes en triángulos y cuadriláteros.
1,Área de Polígonos,120,"Cálculo de superficie en triángulos, cuadrados, rectángulos, paralelogramos y trapecios."
1,Figuras Compuestas (Áreas),121,Cálculo de áreas en figuras formadas por la unión de otras simples.
1,Circunferencia,122,"Elementos: centro, radio, diámetro, cuerda, arco."
1,Número Pi,123,Uso de 3.14 para cálculos geométricos.
1,Longitud de la Circunferencia,124,Cálculo del perímetro del círculo.
1,Círculo,125,Concepto de superficie circular.
1,Polígonos Regulares,126,"Elementos: lado, centro, radio, apotema, ángulo central."
1,Polígonos Inscritos,127,Relación entre polígonos y la circunferencia que los contiene.
1,Traslaciones,128,Transformaciones isométricas: desplazamiento de figuras.
1,Estimación de Medidas,129,"Aproximación de longitud, peso, capacidad, tiempo y temperatura."
1,Sistema Métrico Decimal,130,"Unidades básicas, múltiplos y submúltiplos."
1,Unidades de Longitud,131,"Metro, múltiplos, submúltiplos y nanómetro."
1,Unidades de Superficie,132,Metro cuadrado y conversiones.
1,Unidades de Volumen,133,"Metro cúbico, conversiones y relación con el litro."
1,Capacidad,134,"Litro, múltiplos y submúltiplos."
1,Masa y Peso,135,Unidades de medida y estimaciones.
1,Tiempo,136,Unidades de medida temporal.
1,Temperatura,137,Escalas de medición.
1,Moneda,138,"Conversiones entre colones, dólares y euros."
1,Sucesiones y Patrones,139,Análisis de secuencias numéricas y geométricas.
1,Cantidades Constantes y Variables,140,Diferenciación entre valores fijos y cambiantes.
1,Relaciones de Dependencia,141,Conexión entre dos variables (expresión matemática).
1,Plano de Coordenadas,142,Ubicación de puntos que satisfacen una relación.
1,Ecuaciones de Primer Grado,143,Concepto y determinación del valor desconocido.
1,Inecuaciones de Primer Grado,144,Identificación de soluciones en desigualdades.
1,Escalas,145,Interpretación de gráficas de figuras a escala.
1,Razón y Proporción,146,Concepto de relación entre cantidades.
1,Proporcionalidad Directa,147,Resolución de problemas y regla de tres.
1,Porcentajes,148,Cálculo y aplicación en situaciones cotidianas.
1,Recolección de Datos,149,Uso de cuestionarios y fuentes de información.
1,Tablas de Frecuencia,150,Frecuencia absoluta y porcentual.
1,Representación Gráfica,151,"Gráficos de barras, circulares y diagramas lineales."
1,Medidas de Posición,152,"Moda, media aritmética (promedio), mínimo y máximo."
1,Medidas de Variabilidad,153,Cálculo del recorrido (rango).
1,Población y Muestra,154,Conceptos básicos de grupos de estudio estadístico.
1,Eventos Aleatorios,155,"Clasificación en seguros, probables o imposibles."
1,Probabilidad Frecuencial,156,"Eventos más probables, menos probables e igualmente probables."
1,Probabilidad Clásica (Laplace),157,Cálculo de probabilidad como fracción (favorables/totales).
1,Propiedades de la Probabilidad,158,Rango de 0 a 1 para valores de probabilidad.
3,Sinónimos,159,Palabras con significado similar o igual.
3,Antónimos,160,Palabras con significado opuesto.
3,Parónimos,161,Palabras con escritura o sonido similar pero significado distinto.
3,Homónimos,162,Palabras que se escriben o pronuncian igual pero tienen distinto significado.
3,Prefijos,163,"Elementos gramaticales (geo-, bio-, hidro-, hipo-, hipno-, homo-) que modifican el significado de la palabra."
3,Sufijos Aumentativos,164,"Terminaciones que indican mayor tamaño o intensidad (-ón, -ona, -ote, -ota)."
3,Sufijos Diminutivos,165,"Terminaciones que indican menor tamaño o afecto (-ito, -ita, -ico, -ica, -ín)."
3,Sufijos Despectivos,166,"Terminaciones que indican desprecio o menor valor (-illo, -illa, -ucho, -ucha, -zuelo, -zuela)."
3,Oraciones Enunciativas,167,Oraciones que afirman o niegan un hecho.
3,Oraciones Dubitativas,168,Oraciones que expresan duda o posibilidad.
3,Oraciones Exclamativas,169,Oraciones que expresan emoción o sorpresa.
3,Verbos: Tiempos Verbales,170,"Conjugación en pasado, presente y futuro."
3,Adverbios,171,"Palabras que modifican al verbo, adjetivo u otro adverbio."
3,Sustantivos Comunes y Propios,172,"Clasificación de nombres de personas, lugares o cosas."
3,Adjetivos Calificativos,173,Palabras que describen características del sustantivo.
3,Adjetivos Determinativos,174,Palabras que concretan o limitan al sustantivo.
3,Artículos Definidos e Indefinidos,175,Palabras que acompañan al sustantivo indicando género y número.
3,Pronombres Personales,176,Palabras que sustituyen al nombre en la oración.
3,Pronombres Determinativos,177,Pronombres que señalan distancia o posesión.
3,Conjunciones,178,Palabras que unen oraciones o palabras.
3,Preposiciones,179,Palabras que relacionan elementos de una oración.
3,Oración Simple,180,Estructura formada por sujeto y predicado.
3,Sujeto y Predicado,181,Partes fundamentales de la oración simple.
3,Palabras Agudas,182,Reglas de acentuación en la última sílaba.
3,Palabras Graves,183,Reglas de acentuación en la penúltima sílaba.
3,Palabras Esdrújulas,184,Reglas de acentuación en la antepenúltima sílaba.
3,Palabras Sobreesdrújulas,185,Reglas de acentuación anterior a la antepenúltima sílaba.
3,Uso de Mayúsculas (Oración),186,Regla de mayúscula inicial al comenzar un escrito.
3,Uso de Mayúsculas (Nombres),187,Regla de mayúscula en instituciones y lugares.
3,Siglas y Abreviaturas,188,Escritura correcta de reducciones de palabras.
3,Partes del Libro,189,"Identificación de prólogo, índice, cuerpo, glosario y bibliografía."
3,Género Literario: Poesía,190,Características del género lírico.
3,Género Literario: Cuento,191,Características del género narrativo breve.
3,Género Literario: Novela,192,Características del género narrativo extenso.
3,Género Literario: Drama,193,Características del género teatral.
3,Género Literario: Leyenda,194,Características de narraciones tradicionales.
3,Idea Principal,195,Identificación del tema central en un texto.
3,Ideas Secundarias,196,Identificación de detalles que apoyan la idea principal.
3,Texto Narrativo,197,Comprensión de textos que relatan hechos.
3,Texto Descriptivo,198,Comprensión de textos que detallan características.
3,Texto Expositivo,199,Comprensión de textos que explican un tema.
3,Texto Informativo,200,Comprensión de textos que transmiten datos o noticias.
2,Niveles de Organización del Cuerpo,201,Estructura celular tejidos órganos y sistemas del cuerpo humano.
2,Sistema Respiratorio,202,Órganos funciones y proceso de la respiración humana.
2,Sistema Circulatorio,203,Órganos componentes de la sangre y funciones de transporte.
2,Sistema Inmunológico,204,Defensa del cuerpo glóbulos blancos e inmunidad.
2,Vacunas,205,Importancia y función en la prevención de enfermedades.
2,Sistema Urinario,206,Órganos formación de orina y función de excreción.
2,Sistema Nervioso,207,Componentes y funciones de coordinación del cuerpo.
2,Sistema Endocrino,208,Glándulas hormonas y regulación de funciones corporales.
2,Sistemas Reproductores,209,Anatomía y fisiología de los sistemas masculino y femenino.
2,Madurez Sexual,210,Cambios físicos y emocionales en la pubertad y adolescencia.
2,Sexualidad Humana,211,Conceptos de sexo género y dimensiones de la sexualidad.
2,Reproducción Humana,212,Fecundación embarazo parto y ciclo menstrual.
2,Salud y Estilos de Vida,213,Nutrición higiene y prevención de enfermedades y adicciones.
2,Clasificación de Seres Vivos (Alimentación),214,Organismos autótrofos y heterótrofos.
2,Fotosíntesis,215,Proceso de elaboración de alimento en las plantas.
2,Ecosistemas,216,Componentes bióticos y abióticos cadenas alimenticias y equilibrio.
2,Niveles de Organización Ecológica,217,Individuo población comunidad y biosfera.
2,Biodiversidad y Adaptaciones,218,Variedad de vida y formas de adaptación al medio.
2,Reinos Biológicos,219,Clasificación de los seres vivos (Monera Protista Fungi Plantae Animalia).
2,Relaciones entre Seres Vivos,220,Interacciones intraespecíficas e interespecíficas (depredación simbiosis etc.).
2,Energía y sus Formas,221,Tipos de energía (cinética potencial térmica etc.) y su conservación.
2,Movimiento y Rapidez,222,Conceptos básicos de desplazamiento y velocidad en objetos.
2,Calor y Temperatura,223,Diferenciación de conceptos transmisión del calor y medición.
2,La Luz,224,Fenómenos de reflexión refracción y fuentes luminosas.
2,Magnetismo,225,Propiedades de los imanes y campo magnético terrestre.
2,Electricidad,226,Corriente eléctrica circuitos y materiales conductores.
2,Generación de Electricidad,227,Fuentes de energía (hidroeléctrica eólica etc.) y su transformación.
2,Sonido,228,Energía sonora vibraciones y transmisión.
2,Materia: Cambios Físicos y Químicos,229,Diferenciación entre transformaciones reversibles e irreversibles.
2,Clasificación de la Materia,230,Sustancias puras y mezclas (homogéneas y heterogéneas).
2,Métodos de Separación,231,Técnicas para separar mezclas (filtración evaporación etc.).
2,Estructura de la Tierra,232,Capas internas y externas del planeta.
2,Clima y Tiempo Atmosférico,233,Diferenciación y factores que los determinan.
2,Movimientos de la Tierra,234,Rotación y traslación y sus consecuencias (día/noche estaciones).
2,La Luna,235,Fases lunares y su influencia (mareas).
2,Eclipses,236,Formación de eclipses de Sol y de Luna.
2,Agentes Internos (Geología),237,Tectónica de placas sismos y vulcanismo.
2,Agentes Externos (Geología),238,Erosión sedimentación y modelado del relieve.
2,Sistema Solar,239,Características del Sol planetas y otros cuerpos celestes.
2,Origen del Universo y Sistema Solar,240,Teorías sobre la formación del cosmos y nuestro sistema.
2,Exploración Espacial,241,Historia y avances tecnológicos en el estudio del espacio.
2,Hidrosfera,242,Distribución e importancia del agua en la Tierra.
2,Atmósfera,243,Importancia y contaminación del aire.
2,Equilibrio Ecológico,244,Factores naturales y humanos que alteran el medio ambiente.
2,Conservación de Recursos,245,Uso sostenible de energía y materiales.
2,Científicos Costarricenses,246,Aportes al desarrollo científico nacional.
2,Seguridad y Prevención,247,Medidas ante desastres naturales y accidentes.
1,Números Naturales,248,Concepto y conjunto de números naturales.
1,Potencias (Naturales),249,Concepto de potencia y notación exponencial.
1,Suma de Números Naturales,250,Operación de adición en N.
1,Resta de Números Naturales,251,Operación de sustracción en N.
1,Multiplicación de Números Naturales,252,Operación de multiplicación en N.
1,División de Números Naturales,253,Operación de división en N.
1,Combinación de operaciones (Naturales),254,Operaciones combinadas con/sin paréntesis.
1,Teoría de números,255,Conceptos generales de teoría de números.
1,Algoritmo de la división,256,Aplicación del algoritmo de Euclides.
1,Divisibilidad,257,Concepto de divisibilidad.
1,Divisor y Factor,258,Identificación de divisores y factores.
1,Múltiplo,259,Concepto de múltiplo de un número.
1,Números primos,260,Identificación de números primos.
1,Números compuestos,261,Identificación y descomposición de números compuestos.
1,Descomposición Prima,262,Factorización en números primos.
1,Mínimo Común Múltiplo (MCM),263,Cálculo y problemas de MCM.
1,Máximo Común Divisor (MCD),264,Cálculo y problemas de MCD.
1,Números Enteros,265,Concepto de número entero.
1,Enteros negativos,266,Uso de enteros negativos en contextos reales.
1,Relaciones de orden (Enteros),267,Comparación de números enteros.
1,Recta numérica (Enteros),268,Ubicación de enteros en la recta.
1,Valor absoluto,269,Cálculo del valor absoluto de un entero.
